California	26.70
New Jersey	23.50
New York	22.70
Florida	21.70
Nevada	18.90
Massachusetts	18
Texas	17.20
Hawaii	17.10
Maryland	16.70
Connecticut	15.70
Washington	15.30
District of Columbia	14.90
Rhode Island	14.40
Illinois	14.40
United States	13.90
Arizona	13.10
Virginia	12.70
Georgia	10.70
Oregon	9.90
Delaware	9.90
Colorado	9.50
New Mexico	9.30
Minnesota	8.70
Utah	8.60
North Carolina	8.60
Alaska	7.50
Pennsylvania	7.50
Nebraska	7.20
Kansas	7.10
Michigan	6.90
New Hampshire	6.20
Indiana	6.10
Iowa	6
Idaho	6
Oklahoma	6
Tennessee	5.60
South Carolina	5.20
Arkansas	5.10
Wisconsin	5
Ohio	5
North Dakota	4.90
Vermont	4.20
Louisiana	4.20
Maine	4.10
Missouri	4.10
Kentucky	4
Alabama	3.80
South Dakota	3.50
Wyoming	3.10
Montana	2.30
Mississippi	2.20
West Virginia	1.80